Category,Metric,Justification
Profitability,EBITDA Margin,Measures operating efficiency before financing and accounting effects.
Profitability,PAT Margin (Net Profit Margin),Shows the percentage of revenue converted into net profit.
Profitability,Return on Equity (ROE),Measures how efficiently shareholder capital generates profits.
Profitability,Return on Capital Employed (ROCE),Evaluates how effectively the company utilizes its capital.
Profitability,Return on Assets (ROA),Indicates how efficiently assets generate profits.
Growth,Net Profit Growth,Captures the company's earnings growth over time.
Growth,EPS Growth / Trend,Reflects the growth in earnings available to shareholders.
Growth,EBITDA Margin CAGR,Measures long-term improvement in operating profitability.
Growth,PAT Margin CAGR,Indicates sustained improvement in net profitability.
Leverage,Debt-to-Equity Ratio,Measures financial leverage and capital structure risk.
Leverage,Interest Coverage Ratio,Assesses the company's ability to meet interest obligations.
Efficiency,Total Asset Turnover Ratio,Measures how efficiently assets generate revenue.
Efficiency,Working Capital Turnover Ratio,Evaluates efficiency in utilizing working capital.
Valuation,Price-to-Earnings (P/E) Ratio,Represents the market valuation relative to earnings.
Valuation,Price-to-Book (P/B) Ratio,Measures market value relative to the company's book value.
Valuation,Discounted Cash Flow (DCF),Estimates the intrinsic value based on future cash flows.
Valuation,Margin of Safety,Indicates the discount of market price from intrinsic value.
Liquidity,Current Ratio,Measures the company's ability to meet short-term obligations.
